RacerID,Course,RacesRun,QuinellaRate,FirstPlaceRate,Nige,Makuri
3153,4,1045,23.5,6.9,0,11
3153,5,563,16.1,4.4,0,4
3153,6,456,10.7,2.8,0,0
3156,1,1713,74.9,56.9,910,0
3156,2,1844,44.4,20.9,0,129
3156,3,1511,39.9,21.0,0,84
3156,4,1275,33.2,15.9,0,73
3156,5,420,20.7,8.3,0,8
3156,6,145,11.7,2.0,0,0
3158,1,1546,80.7,61.9,896,1
3158,2,1160,54.1,27.0,0,121
3158,3,1301,50.5,25.7,0,192
3158,4,1394,44.7,25.6,0,187
3158,5,1110,30.0,14.7,0,50
3158,6,728,13.1,4.2,0,9
3159,1,1868,76.5,57.0,974,0
3159,2,2619,53.8,24.8,0,199
3159,3,1022,39.8,16.1,0,53
3159,4,728,40.9,16.4,0,42
3159,5,296,22.3,6.4,0,3
3159,6,135,16.3,3.7,0,0
3161,1,1615,71.5,47.4,690,0
3161,2,1965,45.5,19.2,0,91
3161,3,1635,36.0,12.7,0,74
3161,4,1180,32.6,13.9,0,65
3161,5,599,21.7,8.5,0,15
3161,6,230,18.2,5.6,0,6
3164,1,687,55.1,35.6,217,1
3164,2,847,46.6,24.3,0,91
3164,3,943,40.8,20.3,0,78
3164,4,1034,39.1,20.1,0,101
3164,5,957,30.9,13.9,0,40
3164,6,612,14.7,5.0,0,8
3166,1,689,40.0,22.5,143,0
3166,2,726,25.7,11.2,1,39
3166,3,783,20.0,9.8,0,39
3166,4,720,19.5,8.3,0,30
3166,5,641,11.8,4.6,0,1
3166,6,555,5.7,0.9,0,0
3169,1,459,33.7,14.8,56,0
3169,2,573,28.2,10.3,0,22
3169,3,640,20.1,6.7,0,18
3169,4,651,22.2,8.6,0,18
3169,5,605,12.5,2.9,0,5
3169,6,489,6.3,1.0,0,0
3170,1,905,50.2,30.5,252,0
3170,2,1188,30.1,11.2,0,47
3170,3,1053,22.3,7.8,0,45
3170,4,828,21.3,7.9,0,35
3170,5,492,13.2,4.2,0,10
3170,6,217,5.0,0.9,0,0
3171,1,533,38.0,18.9,93,0
3171,2,693,26.8,10.1,0,15
3171,3,643,22.7,9.4,0,20
3171,4,654,22.6,9.9,0,22
3171,5,768,16.2,5.6,0,11
3171,6,560,9.1,2.1,0,1
3174,1,667,43.7,25.0,156,0
3174,2,766,29.6,10.3,0,31
3174,3,864,22.5,8.1,0,37
3174,4,753,22.9,11.0,0,45
3174,5,698,15.9,4.3,0,15
3174,6,482,9.1,3.5,0,8
3175,1,1126,48.2,21.2,203,1
3175,2,1260,42.2,13.7,0,35
3175,3,1239,32.7,11.0,0,21
3175,4,1171,34.5,9.9,0,34
3175,5,992,21.5,5.3,0,7
3175,6,776,11.7,2.9,0,0
3176,1,1271,66.2,46.7,557,0
3176,2,1195,47.7,20.1,0,58
3176,3,1134,35.1,15.4,0,70
3176,4,1072,31.6,12.6,0,51
3176,5,915,20.1,5.9,0,11
3176,6,549,7.6,2.0,0,1
3177,1,786,34.6,14.8,97,0
3177,2,905,30.5,9.7,0,24
3177,3,1014,32.7,12.4,0,58
3177,4,1173,26.4,11.0,0,63
3177,5,978,20.8,7.8,0,27
3177,6,752,11.4,2.7,0,6
3182,1,754,39.5,13.5,83,0
3182,2,1062,34.6,10.1,0,20
3182,3,1070,23.4,8.3,0,16
3182,4,995,19.5,5.4,0,10
3182,5,779,13.9,2.7,0,1
3182,6,410,9.2,1.4,0,0
3186,1,943,54.2,34.6,300,0
3186,2,1087,34.1,14.4,0,104
3186,3,1338,33.3,17.1,0,149
3186,4,1141,29.8,16.9,0,134
3186,5,704,24.8,10.3,0,38
3186,6,307,12.7,5.2,0,7
3187,1,1160,58.7,35.8,372,0
3187,2,1197,45.7,20.3,0,109
3187,3,1176,38.9,19.6,0,93
3187,4,1098,32.3,14.5,0,60
3187,5,808,23.5,8.0,0,15
3187,6,708,12.1,3.2,0,0
3188,1,1652,75.7,52.3,806,0
3188,2,1532,59.2,26.8,0,156
3188,3,1425,46.2,19.9,0,88
3188,4,1203,42.8,17.8,0,80
3188,5,763,25.4,7.8,0,11
3188,6,483,14.9,2.9,0,2
3189,1,838,46.4,23.9,175,0
3189,2,907,38.1,19.2,0,46
3189,3,1017,31.3,13.5,0,53
3189,4,946,31.8,13.6,0,51
3189,5,790,22.0,6.8,0,20
3189,6,525,11.0,3.2,0,2
3200,1,1110,77.4,57.3,573,1
3200,2,988,51.2,25.2,0,107
3200,3,1138,47.8,24.7,0,142
3200,4,1063,47.6,26.2,0,145
3200,5,675,35.8,15.8,0,41
3200,6,328,23.7,10.9,0,15
3202,1,1031,56.2,32.6,296,2
3202,2,1029,40.8,16.4,0,74
3202,3,1095,33.2,15.7,0,62
3202,4,1105,31.6,15.5,0,61
3202,5,1043,24.2,8.9,0,19
3202,6,797,12.6,2.1,0,3
3207,1,555,34.7,14.9,73,0
3207,2,702,27.6,7.8,0,22
3207,3,712,22.0,8.5,0,28
3207,4,660,22.5,10.0,0,28
3207,5,873,17.1,6.8,0,7
3207,6,895,12.4,3.8,0,4
3211,1,1050,58.5,33.8,323,0
3211,2,1206,42.8,16.7,0,56
3211,3,1185,37.0,14.3,0,53
3211,4,1165,32.1,13.8,0,69
3211,5,1018,21.1,4.8,0,8
3211,6,655,13.4,3.6,0,1
3212,1,1431,70.6,48.5,639,1
3212,2,1721,41.8,16.1,1,110
3212,3,1162,40.8,19.4,0,84
3212,4,1151,33.3,15.1,0,49
3212,5,484,26.2,8.8,0,7
3212,6,240,15.0,5.4,0,1
3214,1,659,41.2,21.5,114,0
3214,2,761,34.0,14.1,0,59
3214,3,870,29.8,14.4,0,86
3214,4,958,28.1,13.4,0,78
3214,5,873,18.7,8.1,0,32
3214,6,570,10.5,2.6,0,7
3220,1,995,55.1,28.9,249,0
3220,2,1105,39.8,15.2,0,70
3220,3,1270,34.4,14.0,0,56
3220,4,1084,32.2,13.3,0,58
3220,5,940,22.0,7.4,0,24
3220,6,746,12.8,3.7,0,6
3224,1,1012,56.0,32.8,308,0
3224,2,1174,38.5,14.1,0,52
3224,3,1154,33.1,15.6,0,92
3224,4,1237,32.6,16.6,0,108
3224,5,997,18.3,7.9,0,33
3224,6,548,9.6,3.1,0,4
3225,1,543,34.6,14.3,60,0
3225,2,632,30.2,8.0,0,12
3225,3,644,24.6,8.7,0,22
3225,4,702,24.3,7.5,0,22
3225,5,731,19.2,6.2,0,12
3225,6,620,14.8,4.5,0,7
3226,1,1065,58.5,34.6,312,1
3226,2,1158,42.6,17.9,0,54
3226,3,1240,34.5,15.0,0,63
3226,4,1161,30.3,10.8,0,26
3226,5,936,18.8,5.8,0,9
3226,6,574,9.4,1.3,0,2
3227,1,1243,74.3,54.3,610,1
3227,2,1065,45.1,23.8,0,98
3227,3,1045,46.9,24.5,0,118
3227,4,1211,44.0,23.7,0,136
3227,5,801,34.4,16.4,0,53
3227,6,438,20.7,6.6,0,18
3228,1,456,28.2,11.8,48,0
3228,2,514,26.8,10.3,0,17
3228,3,579,18.6,8.4,0,14
3228,4,603,21.8,7.4,0,10
3228,5,722,12.1,3.6,0,10
3228,6,752,7.4,1.4,0,2
3231,1,1520,68.4,46.9,672,0
3231,2,1813,40.4,16.5,0,80
3231,3,1538,31.0,11.2,0,53
3231,4,1059,24.9,7.8,0,34
3231,5,360,15.0,3.6,0,3
3231,6,117,11.1,2.5,0,1
3232,1,1493,79.6,58.5,817,0
3232,2,1119,52.9,27.3,0,156
3232,3,1175,45.4,26.2,0,148
3232,4,1158,48.0,26.5,0,163
3232,5,917,34.0,15.5,0,51
3232,6,664,19.7,6.1,0,11
3233,1,1452,72.4,47.0,626,0
3233,2,1451,49.2,22.6,0,68
3233,3,1495,39.7,16.9,0,79
3233,4,1417,39.1,16.5,0,89
3233,5,1020,26.4,10.3,0,25
3233,6,635,14.9,2.8,0,2
3234,1,910,57.4,35.8,310,0
3234,2,996,37.8,16.2,0,67
3234,3,1183,31.1,13.1,0,78
3234,4,1217,29.8,13.9,0,75
3234,5,937,18.7,7.4,0,22
3234,6,536,9.5,3.3,0,1
3235,1,920,57.5,35.2,292,0
3235,2,1007,42.2,19.9,0,97
3235,3,1040,38.4,18.2,0,103
3235,4,878,33.9,18.9,0,97
3235,5,586,21.8,9.3,0,17
3235,6,279,10.0,3.5,0,5
3236,1,554,57.2,34.6,182,0
3236,2,634,43.3,22.8,0,69
3236,3,770,37.1,17.9,0,72
3236,4,980,40.0,23.7,0,147
3236,5,887,29.8,13.4,0,58
3236,6,719,14.0,3.7,0,10
3243,1,1485,54.5,36.0,482,0
3243,2,1632,35.3,19.4,0,121
3243,3,1011,31.4,15.4,0,92
3243,4,615,23.2,11.8,0,35
3243,5,254,12.2,4.3,0,2
3243,6,102,6.8,1.9,0,0
3245,1,1147,68.8,46.2,482,1
3245,2,1055,46.1,21.9,0,110
3245,3,1150,42.7,20.7,0,99
